id,mac,rssi,timestamp
031c5331-7633-4f8b-bfa6-3605185696e4,00:00:00:08:9a:00,-82,09-05-2023 14:07:40
b06f8d5a-c953-4068-9604-4a47f21e6edb,00:00:00:08:9a:00,-84,09-05-2023 14:07:40
3d10a722-f3ca-4329-a5ec-a1885ed5d062,00:00:00:08:9a:00,-83,09-05-2023 14:07:41
903bc627-d988-4e9e-a766-c33ffe9dcf01,00:00:00:08:9a:00,-82,09-05-2023 14:07:41
1ff1a66c-683d-487a-a8af-b02872fce42d,00:00:00:08:9a:00,-82,09-05-2023 14:07:41
5c13ba1f-e7e7-4966-a2c6-a11c1a3236ad,00:00:00:08:9a:00,-86,09-05-2023 14:07:41
c69c1063-6e5e-4137-a670-c36cdbd28389,00:00:00:08:9a:00,-91,09-05-2023 14:07:41
5afd1401-56bd-4a9e-b656-8061be0c91aa,00:00:00:08:9a:00,-82,09-05-2023 14:07:41
5d497b2a-05fc-46da-a6a4-b5a4546930f5,00:00:00:08:9a:00,-81,09-05-2023 14:07:42
47782827-61e4-4cff-8d98-fd799cea332d,00:00:00:08:9a:00,-81,09-05-2023 14:07:42
c0d23d71-d58b-44c1-a399-77af70c731f1,00:00:00:08:9a:00,-80,09-05-2023 14:07:42
a4a7612a-a555-451c-8638-48c9a74d6a51,00:00:00:08:9a:00,-84,09-05-2023 14:07:42
72c0ef4c-8f63-46ec-aecf-c24619fb96c9,00:00:00:08:9a:00,-80,09-05-2023 14:07:43
54137ab8-b630-4224-8f77-ab2b6aecee7f,00:00:00:08:9a:00,-82,09-05-2023 14:07:43
d464d578-e2f0-4f4e-8e00-ce91d44e3d91,00:00:00:08:9a:00,-84,09-05-2023 14:07:43
b3d5482f-1c11-459d-ba5e-537831f9b8db,00:00:00:08:9a:00,-81,09-05-2023 14:07:43
696f65a8-7f57-4fe1-b786-5ff531400493,00:00:00:08:9a:00,-83,09-05-2023 14:07:43
7aaf1b67-9c24-48c4-879a-e0545974d772,00:00:00:08:9a:00,-84,09-05-2023 14:07:44
0106d2d5-583e-4265-98bf-3b0620e6bd89,00:00:00:08:9a:00,-82,09-05-2023 14:07:44
a516885a-f273-449e-8370-1a048642583d,00:00:00:08:9a:00,-91,09-05-2023 14:28:48
6e606461-731e-4ce3-9cdb-30ae9d076928,00:00:00:08:9a:00,-92,09-05-2023 14:29:57
23b07189-bbe2-4e84-b4cf-7306dfa74bc0,00:00:00:08:9a:00,-91,09-05-2023 14:31:01
9adb965e-ab85-484a-9b80-20f291d97a60,00:00:00:08:9a:00,-83,09-05-2023 14:33:18
db610e20-e9a7-44a0-881c-f3fd39f8981d,00:00:00:08:9a:00,-85,09-05-2023 14:33:18
bf9e5453-07f8-4e78-bf7a-500ade73aeb8,00:00:00:08:9a:00,-79,09-05-2023 14:34:25
f88a8718-6c25-44c2-b3c2-941a81e317cd,00:00:00:08:9a:00,-80,09-05-2023 14:34:25
80e02375-03f3-420f-8ab9-ea09f8447c4b,00:00:00:08:9a:00,-81,09-05-2023 14:34:25
74768d0a-9b0b-48ea-b83b-167b1878df56,00:00:00:08:9a:00,-81,09-05-2023 14:34:25
231da2db-ead7-4b39-9ee2-567fd7eaa697,00:00:00:08:9a:00,-82,09-05-2023 14:34:25
477128ef-7df8-4526-904f-98a9220042c2,00:00:00:08:9a:00,-80,09-05-2023 14:34:26
732a9786-c0dc-4866-ad95-73329fa2a173,00:00:00:08:9a:00,-80,09-05-2023 14:34:26
f559633e-7ba8-4cad-bffa-ef1262ef64ae,00:00:00:08:9a:00,-80,09-05-2023 14:34:26
53227314-907b-475c-9bb2-0a0b49a357b3,00:00:00:08:9a:00,-80,09-05-2023 14:34:26
4f76caf7-3f4e-4aad-8f64-a32f31c0057c,00:00:00:08:9a:00,-77,09-05-2023 14:34:27
c0429f1d-216e-4dd0-a77c-2a668fccfa0c,00:00:00:08:9a:00,-80,09-05-2023 14:34:27
c61744e1-49b3-4c33-9638-23b23fb04f25,00:00:00:08:9a:00,-82,09-05-2023 14:34:27
1cbc7409-055f-4a4a-a1e1-fdbeb5d4642d,00:00:00:08:9a:00,-76,09-05-2023 14:34:27
542f7d3e-23e4-4ec8-a50c-544ecf8cf16e,00:00:00:08:9a:00,-84,09-05-2023 14:35:28
5c5ce687-89b4-46e5-8200-0133a04a86f7,00:00:00:08:9a:00,-84,09-05-2023 14:35:28
b79dc44a-e204-494a-819b-f1e9cc32ceb7,00:00:00:08:9a:00,-81,09-05-2023 14:35:34
7fb46032-19e4-4b58-89a7-1ea144119fac,00:03:f1:61:ff:44,-92,09-05-2023 20:34:26
d960129f-e113-4fba-9598-416b1b7f40e2,00:07:53:23:07:b3,-90,09-05-2023 10:00:15
c53170d1-784a-4d47-818e-33b6d899f8df,00:07:53:23:07:b3,-88,09-05-2023 10:01:14
83455f7f-0d75-4780-bb95-ea5f52213640,00:08:22:1e:a4:fc,-88,09-05-2023 20:20:13
