id,mac,rssi,timestamp
b97c3aaf-fa38-4acf-bf2b-9bdd5ef090f8,00:08:22:44:a6:fc,-89,05-05-2023 18:38:52
626fcf72-495e-4017-986b-c7b27ec75dfb,00:08:22:4e:28:16,-81,05-05-2023 20:08:26
fdd78a1a-07aa-4cc0-ade8-99e437e5b1a8,00:08:22:4e:28:16,-80,05-05-2023 20:09:08
098108ab-0ece-4991-872d-4fdc346cbbad,00:08:22:96:29:c2,-83,05-05-2023 19:03:32
4631adfd-97e3-49ef-87d4-bc4ba1fde17d,00:0c:e7:00:20:78,-70,05-05-2023 08:40:44
7e459fe7-f620-4128-b989-e3b1dbcc0807,00:0c:e7:00:20:78,-69,05-05-2023 08:40:44
cd84a15d-1b57-4ec1-85d3-4fbd384a7da3,00:0c:e7:00:20:78,-75,05-05-2023 08:40:44
d62af339-96ed-470b-8533-027427dd6300,00:0c:e7:03:2e:5b,-86,05-05-2023 21:00:04
851cffd0-6d30-46a9-a90f-5fb4ef56fb03,00:0c:e7:03:2e:5b,-79,05-05-2023 21:00:05
7b4239d6-e192-4f14-8629-83d9383b1ec3,00:0c:e7:03:40:e9,-86,05-05-2023 08:39:58
861119f6-b725-4cf3-8e1a-b000f6e18666,00:0c:e7:03:40:e9,-77,05-05-2023 08:39:59
06b4e9ce-0982-42d8-a803-810904510caf,00:0c:e7:10:d6:25,-89,05-05-2023 19:05:54
4c279c00-ce82-4873-8a73-219cda57ba3e,00:0c:e7:10:d6:25,-95,05-05-2023 19:05:54
bbdb85ec-6306-4942-93fd-30d71a22f117,00:0c:e7:14:49:37,-77,05-05-2023 09:23:31
82cf8a98-6605-4b2d-879e-4e971d1dac37,00:0c:e7:14:49:37,-75,05-05-2023 09:23:32
33ca24cc-9dd6-4873-abb3-c016be76b511,00:0c:e7:14:49:37,-86,05-05-2023 09:23:32
660f303c-fa99-4fe0-821d-2a5e1de5ff5a,00:0c:e7:15:bf:34,-82,05-05-2023 12:09:57
35e4ce34-c437-46f0-ba74-dc275ec8cf2a,00:0c:e7:1c:66:73,-85,05-05-2023 18:56:00
7a07dd64-62a3-46d5-b47a-4b7baf2ec269,00:0c:e7:1f:06:17,-89,05-05-2023 15:41:04
5ba51cd3-6817-4dfd-95b2-115ed7fc1ff0,00:0c:e7:1f:0e:7e,-72,05-05-2023 11:02:28
c97e8166-6eb3-4d22-892a-9c207876aedd,00:0c:e7:1f:0e:7e,-71,05-05-2023 11:02:29
f4124b90-abde-40c6-8f83-7fed125874b5,00:0c:e7:1f:0e:7e,-76,05-05-2023 11:02:29
cb191991-522a-4098-ae9c-ab22be7dd6af,00:0c:e7:24:5b:36,-78,05-05-2023 11:40:05
4f4aa6a0-51ec-40d2-8431-ba883b43e724,00:0c:e7:25:8d:45,-86,05-05-2023 10:28:41
5953a16e-2d7b-478d-aded-0a352ce051a1,00:0c:e7:28:7f:e3,-84,05-05-2023 11:51:28
9336714e-a41d-4d95-955f-38d81a30080a,00:0c:e7:2b:ee:a6,-76,05-05-2023 09:23:23
3f40519c-85ed-452d-8c2c-2f1eaa81a895,00:0c:e7:2b:ee:a6,-78,05-05-2023 09:23:23
